date,USDJPY,JP10Y,US10Y,JGB_Outstanding,BOJ_Holdings,Interest_Payment,Nikkei225,Tax_Revenue,SPREAD_10Y,BOJ_Share,Interest_to_Tax,Avg_Interest_Rate,Nikkei_USD,Interest_If_1pct_Up
1990-03-31,145,7.0,8.6,166,25,11.5,29980,60.1,1.5999999999999996,15.060240963855422,19.13477537437604,6.927710843373494,206.75862068965517,13.16
1991-03-31,135,6.3,7.9,172,28,11.3,19346,59.8,1.6000000000000005,16.27906976744186,18.896321070234116,6.569767441860465,143.3037037037037,13.020000000000001
1992-03-31,125,5.0,7.0,178,30,11.0,18591,54.4,2.0,16.853932584269664,20.22058823529412,6.179775280898876,148.728,12.78
1993-03-31,111,4.0,5.9,192,32,10.8,20229,54.1,1.9000000000000004,16.666666666666664,19.963031423290204,5.625,182.24324324324326,12.72
1994-03-31,100,4.4,7.1,207,35,10.5,15140,51.0,2.6999999999999993,16.908212560386474,20.588235294117645,5.072463768115942,151.4,12.57
1995-03-31,94,3.2,6.6,225,38,10.8,21406,52.1,3.3999999999999995,16.88888888888889,20.72936660268714,4.8,227.72340425531914,13.05
1996-03-31,109,2.9,6.4,245,42,11.0,18003,52.1,3.5000000000000004,17.142857142857142,21.113243761996163,4.489795918367347,165.1651376146789,13.45
1997-03-31,121,2.1,6.4,258,45,10.8,16527,53.9,4.300000000000001,17.441860465116278,20.03710575139147,4.186046511627907,136.58677685950414,13.38
1998-03-31,131,1.3,5.3,295,50,10.7,15836,49.4,4.0,16.94915254237288,21.65991902834008,3.6271186440677963,120.8854961832061,13.649999999999999
1999-03-31,114,1.8,5.6,332,52,10.5,20337,47.2,3.8,15.66265060240964,22.245762711864405,3.1626506024096384,178.39473684210526,13.82
2000-03-31,108,1.7,6.0,368,55,10.6,12999,50.7,4.3,14.945652173913043,20.907297830374752,2.880434782608696,120.36111111111111,14.28
2001-03-31,122,1.4,5.0,392,65,10.2,11024,47.9,3.6,16.581632653061224,21.29436325678497,2.6020408163265305,90.36065573770492,14.12
2002-03-31,125,1.3,4.6,421,80,9.8,7972,43.8,3.3,19.002375296912113,22.374429223744297,2.327790973871734,63.776,14.010000000000002
2003-03-31,116,1.0,4.0,457,95,9.3,11715,43.3,3.0,20.787746170678336,21.47806004618938,2.0350109409190376,100.99137931034483,13.870000000000001
2004-03-31,108,1.5,4.3,499,95,8.9,11668,45.6,2.8,19.03807615230461,19.517543859649123,1.783567134268537,108.03703703703704,13.89
2005-03-31,113,1.5,4.3,527,90,8.5,17059,49.1,2.8,17.077798861480076,17.311608961303463,1.6129032258064515,150.9646017699115,13.77
2006-03-31,117,1.8,4.8,532,75,8.6,17287,49.1,3.0,14.097744360902256,17.5152749490835,1.6165413533834585,147.75213675213675,13.92
2007-03-31,114,1.7,4.6,541,68,8.9,12525,51.0,2.8999999999999995,12.56931608133087,17.450980392156865,1.6451016635859521,109.86842105263158,14.31
2008-03-31,101,1.5,3.7,546,55,8.8,8109,44.3,2.2,10.073260073260073,19.864559819413095,1.611721611721612,80.2871287128713,14.260000000000002
2009-03-31,93,1.3,3.3,594,60,8.5,11089,38.7,1.9999999999999998,10.1010101010101,21.963824289405682,1.430976430976431,119.23655913978494,14.440000000000001
2010-03-31,86,1.1,3.2,637,75,8.4,9755,41.5,2.1,11.773940345368917,20.240963855421686,1.3186813186813187,113.43023255813954,14.77
2011-03-31,79,1.0,2.8,670,80,8.5,10083,42.8,1.7999999999999998,11.940298507462686,19.85981308411215,1.2686567164179103,127.63291139240506,15.2
2012-03-31,83,0.8,1.8,705,90,8.7,12397,43.9,1.0,12.76595744680851,19.81776765375854,1.2340425531914894,149.36144578313252,15.75
2013-03-31,100,0.7,2.4,743,142,8.5,14827,47.0,1.7,19.11170928667564,18.085106382978726,1.1440107671601614,148.27,15.93
2014-03-31,110,0.5,2.5,774,200,8.3,19206,54.0,2.0,25.839793281653744,15.37037037037037,1.0723514211886305,174.6,16.04
2015-03-31,121,0.3,2.1,807,282,8.0,16758,56.3,1.8,34.94423791821561,14.209591474245117,0.9913258983890955,138.49586776859505,16.07
2016-03-31,108,-0.1,1.8,831,360,7.8,18909,55.5,1.9000000000000001,43.32129963898917,14.054054054054054,0.9386281588447654,175.08333333333334,16.11
2017-03-31,111,0.05,2.3,853,417,7.5,21454,58.8,2.25,48.8862837045721,12.755102040816327,0.8792497069167644,193.27927927927928,16.03
2018-03-31,111,0.05,2.9,874,450,7.3,21205,60.4,2.85,51.48741418764302,12.08609271523179,0.8352402745995423,191.03603603603602,16.04
2019-03-31,109,-0.1,2.1,886,470,7.1,18917,58.4,2.2,53.04740406320542,12.157534246575343,0.8013544018058691,173.55045871559633,15.959999999999999
2020-03-31,106,0.0,0.9,945,500,7.3,29178,60.8,0.9,52.910052910052904,12.006578947368421,0.7724867724867724,275.2641509433962,16.75
2021-03-31,112,0.1,1.4,991,521,7.4,27821,67.0,1.2999999999999998,52.57315842583249,11.044776119402986,0.7467204843592331,248.40178571428572,17.310000000000002
2022-03-31,135,0.3,3.0,1027,536,7.5,28041,71.1,2.7,52.19084712755598,10.548523206751055,0.7302823758519961,207.7111111111111,17.77
2023-03-31,145,0.7,4.0,1068,576,7.8,40369,72.1,3.3,53.93258426966292,10.818307905686547,0.7303370786516853,278.4068965517241,18.48
2024-03-31,154,1.0,4.2,1100,580,9.7,39894,78.0,3.2,52.72727272727272,12.435897435897434,0.8818181818181817,259.05194805194805,20.7
2025-03-31,150,1.5,4.2,1080,576,9.7,35618,75.2,2.7,53.333333333333336,12.898936170212766,0.8981481481481481,237.45333333333335,20.5
